Name,Subtitle,Acceleration,TopSpeed (/H),Range (KM),Range (Miles),Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,PriceinUS
Mercedes EQV 300 Extra-Long,Battery Electric Vehicle |       90 kWh,12.1 sec,160 /h,320,198.4,281 Wh/,280 /h,Front Wheel Drive,7,"72,281",N/A,68673.6
Lucid Air Grand Touring,Battery Electric Vehicle |       110 kWh ,3.2 sec,270 /h,660,409.2,167 Wh/,1380 /h,All Wheel Drive,5,"140,000","125,000",251754.75
Lucid Air Touring,Battery Electric Vehicle |       85 kWh ,3.4 sec,250 /h,530,328.6,160 Wh/,1390 /h,All Wheel Drive,5,"95,000","90,000",175754.75
Lucid Air Pure,Battery Electric Vehicle |       85 kWh ,4.2 sec,200 /h,540,334.8,157 Wh/,1410 /h,Rear Wheel Drive,5,"80,000","70,000",142504.75
Dacia Spring Electric,Battery Electric Vehicle |       26.8 kWh ,15.0 sec,125 /h,170,105.4,158 Wh/,120 /h,Front Wheel Drive,4,"20,490",N/A,19469.3
Tesla Model 3 Standard Range Plus LFP,Battery Electric Vehicle |       51 kWh ,5.6 sec,225 /h,340,210.8,150 Wh/,570 /h,Rear Wheel Drive,5,"43,560","40,990",80327.25
Tesla Model 3 Long Range Dual Motor,Battery Electric Vehicle |       70 kWh ,4.4 sec,233 /h,455,282.1,154 Wh/,570 /h,All Wheel Drive,5,N/A,"48,490",46070.25
Tesla Model 3 Performance,Battery Electric Vehicle |       76 kWh ,3.3 sec,261 /h,470,291.4,162 Wh/,790 /h,All Wheel Drive,5,"58,560","59,990",112627.25
Fiat 500e Hatchback 24 kWh,Battery Electric Vehicle |       23.8 kWh ,9.5 sec,135 /h,165,102.3,144 Wh/,260 /h,Front Wheel Drive,4,"23,560","20,495",41856.05
Fiat 500e 3+1,Battery Electric Vehicle |       37.3 kWh ,9.0 sec,150 /h,245,151.9,152 Wh/,410 /h,Front Wheel Drive,4,"29,560",N/A,28085.8
Mercedes EQC 400 4MATIC,Battery Electric Vehicle |       80 kWh,5.1 sec,180 /h,370,229.4,216 Wh/,440 /h,All Wheel Drive,5,"66,069","65,720",125204.3
Kia e-Niro 64 kWh,Battery Electric Vehicle |       64 kWh,7.8 sec,167 /h,370,229.4,173 Wh/,350 /h,Front Wheel Drive,5,"39,090","32,445",67963
Kia e-Niro 39 kWh,Battery Electric Vehicle |       39.2 kWh,9.8 sec,155 /h,235,145.7,167 Wh/,230 /h,Front Wheel Drive,5,"35,290","30,345",62358
Citroen e-SpaceTourer XS 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1 sec,130 /h,185,114.7,243 Wh/,250 /h,Front Wheel Drive,7,"50,880",N/A,48342.65
Citroen e-SpaceTourer M 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1 sec,130 /h,185,114.7,243 Wh/,250 /h,Front Wheel Drive,7,"51,440","31,995",79269.9
Citroen e-SpaceTourer XL 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1 sec,130 /h,180,111.6,250 Wh/,240 /h,Front Wheel Drive,7,"52,230",N/A,49625.15
Citroen e-SpaceTourer M 75 kWh,Battery Electric Vehicle |       68 kWh ,13.3 sec,130 /h,270,167.4,252 Wh/,290 /h,Front Wheel Drive,7,"57,440",N/A,54574.65
Citroen e-SpaceTourer XL 75 kWh,Battery Electric Vehicle |       68 kWh ,13.3 sec,130 /h,270,167.4,252 Wh/,290 /h,Front Wheel Drive,7,"58,230",N/A,55325.15
Opel Zafira-e Life S 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1 sec,130 /h,185,114.7,243 Wh/,250 /h,Front Wheel Drive,7,"56,700",N/A,53871.65
Opel Zafira-e Life M 50 kWh,Battery Electric Vehicle |       45 kWh ,12.1 sec,130 /h,185,114.7,243 Wh/,250 /h,Front Wheel Drive,7,"53,800",N/A,51116.65
